,Country,Conf,New conf,Deaths,New deaths,Date
275,Italy,156363,4092,19901,431,2020-04-13
276,Germany,123016,2537,2799,126,2020-04-13
277,China,83482,113,3349,0,2020-04-12
278,Spain,161852,4830,16353,510,2020-04-12
279,Italy,152271,4694,19470,619,2020-04-12
280,Germany,120479,2821,2673,129,2020-04-12
281,China,83369,64,3349,4,2020-04-11
282,Spain,157022,4576,15843,605,2020-04-11
283,Italy,147577,3951,18851,570,2020-04-11
284,Germany,117658,4133,2544,171,2020-04-11
285,China,83305,56,3345,1,2020-04-10
286,Spain,152446,5756,15238,683,2020-04-10
287,Italy,143626,4204,18281,612,2020-04-10
288,Germany,113525,5323,2373,266,2020-04-10
289,China,83249,92,3344,2,2020-04-09
290,Spain,146690,6180,14555,757,2020-04-09
291,Italy,139422,3836,17669,540,2020-04-09
292,Germany,108202,4974,2107,246,2020-04-09
293,China,83157,86,3342,2,2020-04-08
294,Spain,140510,5478,13798,743,2020-04-08
295,Italy,135586,3039,17129,604,2020-04-08
296,Germany,103228,4003,1861,254,2020-04-08
297,China,83071,66,3340,0,2020-04-07
298,Spain,135032,4273,13055,637,2020-04-07
299,Italy,132547,3599,16525,636,2020-04-07
300,Germany,99225,3834,1607,173,2020-04-07
301,China,83005,75,3340,2,2020-04-06
302,Spain,130759,6023,12418,674,2020-04-06
303,Italy,128948,4316,15889,527,2020-04-06
304,Germany,95391,3677,1434,92,2020-04-06
305,China,82930,55,3338,3,2020-04-05
306,Spain,124736,7026,11744,809,2020-04-05
307,Italy,124632,4805,15362,681,2020-04-05
308,Germany,91714,5936,1342,184,2020-04-05
309,China,82875,73,3335,4,2020-04-04
310,Spain,117710,7472,10935,932,2020-04-04
311,Italy,119827,4585,14681,764,2020-04-04
312,Germany,85778,6082,1158,141,2020-04-04
313,China,82802,78,3331,4,2020-04-03
314,Spain,110238,8102,10003,950,2020-04-03
315,Italy,115242,4668,13917,760,2020-04-03
316,Germany,79696,6174,1017,145,2020-04-03
317,China,82724,93,3327,6,2020-04-02
318,Spain,102136,7719,9053,864,2020-04-02
319,Italy,110574,4782,13157,727,2020-04-02
320,Germany,73522,6156,872,140,2020-04-02
321,China,82631,86,3321,7,2020-04-01
322,Spain,94417,9222,8189,849,2020-04-01
323,Italy,105792,4053,12430,839,2020-04-01
324,Germany,67366,5453,732,149,2020-04-01
325,China,82447,106,3310,4,2020-03-30
326,Spain,78797,6549,6528,838,2020-03-30
327,Italy,97689,5217,10781,758,2020-03-30
328,Germany,57298,4751,455,66,2020-03-30
329,China,82341,128,3306,5,2020-03-29
330,Spain,72248,8189,5690,832,2020-03-29
331,Italy,92472,5974,10023,887,2020-03-29
332,Germany,52547,3965,389,64,2020-03-29
333,China,82213,135,3301,3,2020-03-28
334,Spain,64059,7871,4858,769,2020-03-28
335,Italy,86498,5959,9136,971,2020-03-28
336,Germany,48582,6294,325,72,2020-03-28
337,China,82078,117,3298,5,2020-03-27
338,Spain,56188,8578,4089,655,2020-03-27
339,Italy,80539,6153,8165,660,2020-03-27
340,Germany,42288,5780,253,55,2020-03-27
341,China,81961,113,3293,6,2020-03-26
342,Spain,47610,7937,3434,738,2020-03-26
343,Italy,74386,5210,7505,685,2020-03-26
344,Germany,36508,4954,198,49,2020-03-26
345,China,81848,101,3287,4,2020-03-25
346,Spain,39673,6584,2696,514,2020-03-25
347,Italy,69176,5249,6820,743,2020-03-25
348,Germany,31554,2342,149,23,2020-03-25
349,China,81747,146,3283,7,2020-03-24
350,Spain,33089,4517,2182,462,2020-03-24
351,Italy,63927,4789,6077,601,2020-03-24
352,Germany,29212,4438,126,32,2020-03-24
353,China,81601,103,3276,9,2020-03-23
354,Spain,28572,3646,1720,394,2020-03-23
355,Italy,59138,5560,5476,649,2020-03-23
356,Germany,24774,3311,94,27,2020-03-23
357,China,81498,82,3267,6,2020-03-21
358,Spain,24926,4946,1326,324,2020-03-21
359,Italy,53578,6557,4827,795,2020-03-21
360,Germany,21463,3140,67,22,2020-03-21
361,China,81416,116,3261,8,2020-03-20
362,Spain,19980,2833,1002,235,2020-03-20
363,Italy,47021,5986,4032,625,2020-03-20
364,Germany,18323,7324,45,25,2020-03-20
365,China,81300,126,3253,11,2020-03-19
366,Spain,17147,3431,767,169,2020-03-19
367,Italy,41035,5322,3407,429,2020-03-19
368,Germany,10999,2801,20,8,2020-03-19
369,China,81174,58,3242,11,2020-03-19
370,Spain,13716,2538,598,107,2020-03-19
371,Italy,35713,4207,2978,473,2020-03-19
372,Germany,8198,1042,13,0,2020-03-19
373,China,81116,39,3231,13,2020-03-18
374,Spain,11178,1987,491,182,2020-03-18
375,Italy,31506,3526,2503,345,2020-03-18
376,Germany,7156,1144,13,0,2020-03-18
377,China,81116,39,3231,13,2020-03-17
378,Spain,9191,1438,309,21,2020-03-17
379,Italy,27980,3233,2503,349,2020-03-17
380,Germany,6012,1174,13,1,2020-03-17
381,China,81077,29,3218,14,2020-03-16
382,Spain,7753,2000,288,152,2020-03-16
383,Italy,24747,3590,1809,368,2020-03-16
384,Germany,4838,1043,12,4,2020-03-16
385,Spain,5753,1522,136,16,2020-03-15
386,Italy,21157,3497,1441,173,2020-03-15
387,Germany,3795,733,8,2,2020-03-15
388,Spain,4231,1266,120,36,2020-03-14
389,Italy,17660,2547,1268,252,2020-03-14
390,Germany,3062,693,6,0,2020-03-14
391,Spain,2965,825,84,36,2020-03-13
392,Italy,15113,2651,1016,189,2020-03-13
393,Germany,2369,802,6,3,2020-03-13
394,Spain,2140,501,48,12,2020-03-12
395,Italy,12462,2313,827,196,2020-03-12
396,Germany,1567,271,3,1,2020-03-12
397,Spain,1639,615,36,8,2020-03-11
398,Italy,10149,977,631,168,2020-03-11
399,Germany,1296,157,2,0,2020-03-11
400,Spain,1024,435,28,18,2020-03-10
401,Italy,9172,1797,463,97,2020-03-10
402,Germany,1139,27,2,2,2020-03-10
403,Spain,589,159,10,5,2020-03-09
404,Italy,7375,1492,366,132,2020-03-09
405,Germany,1112,317,0,0,2020-03-09
406,Spain,430,56,5,0,2020-03-08
407,Italy,5883,1247,234,37,2020-03-08
408,Germany,795,156,0,0,2020-03-08
409,Spain,374,117,5,2,2020-03-07
410,Italy,4636,778,197,49,2020-03-07
411,Germany,639,105,0,0,2020-03-07
412,Spain,257,59,3,2,2020-03-06
413,Italy,3858,769,148,41,2020-03-06
414,Germany,534,272,0,0,2020-03-06
415,Spain,198,47,1,1,2020-03-05
416,Italy,3089,587,107,27,2020-03-05
417,Germany,262,66,0,0,2020-03-05
418,Spain,151,37,0,0,2020-03-04
419,Italy,2502,466,80,28,2020-03-04
420,Germany,196,39,0,0,2020-03-04
421,Spain,114,69,0,0,2020-03-03
422,Italy,2036,347,52,17,2020-03-03
423,Germany,157,28,0,0,2020-03-03
424,Spain,45,0,0,0,2020-03-02
425,Italy,1689,561,35,6,2020-03-02
426,Germany,129,72,0,0,2020-03-02
427,Spain,45,13,0,0,2020-03-01
428,Italy,1128,240,29,8,2020-03-01
429,Germany,57,0,0,0,2020-03-01
430,United States of America,62,0,0,0,2020-03-01
431,Spain,32,7,0,0,2020-02-29
432,Italy,888,238,21,4,2020-02-29
433,Germany,57,31,0,0,2020-02-29
434,United States of America,62,3,0,0,2020-02-29
435,Spain,25,13,0,0,2020-02-28
436,Italy,650,250,17,5,2020-02-28
437,Germany,26,5,0,0,2020-02-28
438,United States of America,59,0,0,0,2020-02-28
439,Spain,12,10,0,0,2020-02-27
440,Italy,400,78,12,1,2020-02-27
441,Germany,21,3,0,0,2020-02-27
442,United States of America,59,6,0,0,2020-02-27
443,Spain,2,0,0,0,2020-02-06
444,Italy,322,93,11,5,2020-02-06
445,Germany,18,2,0,0,2020-02-06
446,United States of America,53,0,0,0,2020-02-06
447,Spain,2,0,0,0,2020-02-25
448,Italy,229,105,6,4,2020-02-25
449,Germany,16,0,0,0,2020-02-25
450,United States of America,53,18,0,0,2020-02-25
451,Spain,2,0,0,0,2020-02-24
452,Italy,124,48,2,0,2020-02-24
453,Germany,16,0,0,0,2020-02-24
454,United States of America,35,0,0,0,2020-02-24
455,Spain,2,0,0,0,2020-02-23
456,Italy,76,67,2,2,2020-02-23
457,Germany,16,0,0,0,2020-02-23
458,Spain,2,0,0,0,2020-02-22
459,Italy,9,6,0,0,2020-02-22
460,Germany,16,0,0,0,2020-02-22
461,Spain,2,0,0,0,2020-02-21
462,Italy,3,0,0,0,2020-02-21
463,Germany,16,0,0,0,2020-02-21
